runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,timeout,reinsert
0.000484,0,1,228,877,-1,154,154,154,0,0,0,0,0,0,0,0,0,0,0,3.4e-05,0,0,0,0,0,0,0,0,0.000417,WDG+GR+GC+T+BP with AStar,../bench_mark/empty-8-8/empty-8-8-random-1.scen:,-1,0
0.0007,0,1,228,877,-1,154,154,154,0,0,0,0,0,0,0,0,0,0,0,5e-05,0,0,0,0,0,0,0,0,0.000605,WDG+GR+GC+T+BP+P with AStar,../bench_mark/empty-8-8/empty-8-8-random-1.scen:,-1,0
2.9e-05,0,1,7,24,-1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8e-05,WDG+GR+GC+T+BP+P with AStar,../bench_mark/empty-8-8/empty-8-8-random-1.scen:,-1,0
4.5e-05,0,1,7,24,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,3.4e-05,WDG+GR+GC+T+BP+P with AStar,../bench_mark/empty-8-8/empty-8-8-random-1.scen:,-1,0
5.3e-05,0,1,7,24,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,3.9e-05,WDG+GR+GC+T+BP+P with AStar,../bench_mark/empty-8-8/empty-8-8-random-1.scen:,-1,0
4.4e-05,0,1,7,24,-1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,3.3e-05,WDG+GR+GC+T+BP+P with AStar,../bench_mark/empty-8-8/empty-8-8-random-1.scen:,-1,0
4.6e-05,0,1,7,24,-1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,3.5e-05,WDG+GR+GC+T+BP+P with AStar,../bench_mark/empty-8-8/empty-8-8-random-1.scen:,-1,0
3.5e-05,0,1,7,24,-1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,3.4e-05,WDG+GR+GC+T+BP+P with AStar,../bench_mark/empty-8-8/empty-8-8-random-1.scen:,-1,0
4.5e-05,0,1,7,24,-1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,4.1e-05,WDG+GR+GC+T+BP+P with AStar,../bench_mark/empty-8-8/empty-8-8-random-1.scen:,-1,0
5.6e-05,0,1,7,24,-1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,5.8e-05,WDG+GR+GC+T+BP+P with AStar,../bench_mark/empty-8-8/empty-8-8-random-1.scen:,-1,0
